timestamp,symbol,bid_price,bid_size,ask_price,ask_size,trade_price,trade_size
2025-08-05 08:18:16,SPY,628.05,250,628.10,500,628.06,1
2025-08-05 08:18:19,SPY,628.05,250,628.10,500,628.06,1
2025-08-05 08:18:21,SPY,628.06,350,628.12,781,628.03,100
2025-08-05 08:18:23,SPY,628.06,350,628.12,781,628.03,100
2025-08-05 08:18:25,SPY,628.06,350,628.12,781,628.03,100
2025-08-05 08:18:27,SPY,628.04,250,628.09,756,627.99,500
2025-08-05 08:18:29,SPY,628.04,250,628.09,756,627.99,500
2025-08-05 08:18:31,SPY,628.13,350,628.19,455,628.11,49
2025-08-05 08:18:33,SPY,628.13,350,628.19,455,628.11,49
2025-08-05 08:18:35,SPY,628.11,523,628.17,750,628.16,17
2025-08-05 08:18:38,SPY,628.11,523,628.17,750,628.16,17
2025-08-05 08:18:40,SPY,628.11,523,628.17,750,628.16,17
2025-08-05 08:18:42,SPY,628.13,400,628.19,320,628.14,100
2025-08-05 08:18:44,SPY,628.13,400,628.19,320,628.14,100
2025-08-05 08:18:47,SPY,628.31,1,628.36,701,628.32,20
2025-08-05 08:18:49,SPY,628.31,1,628.36,701,628.32,20
2025-08-05 08:18:51,SPY,628.31,1,628.36,701,628.32,20
2025-08-05 08:18:53,SPY,628.31,1,628.36,701,628.32,20
2025-08-05 08:18:55,SPY,628.31,1,628.36,701,628.32,20
2025-08-05 08:18:57,SPY,628.32,"1,150",628.38,501,628.33,96
2025-08-05 08:19:00,SPY,628.32,"1,150",628.38,501,628.33,96
2025-08-05 08:19:02,SPY,628.33,250,628.38,751,628.35,2
2025-08-05 08:19:04,SPY,628.33,250,628.38,751,628.35,2
2025-08-05 08:19:06,SPY,628.33,250,628.38,751,628.35,2
2025-08-05 08:19:08,SPY,628.43,550,628.48,300,628.35,2
2025-08-05 08:19:10,SPY,628.43,550,628.48,300,628.35,2
2025-08-05 08:19:12,SPY,628.46,116,628.51,201,628.46,20
2025-08-05 08:19:14,SPY,628.46,116,628.51,201,628.46,20
2025-08-05 08:19:16,SPY,628.37,750,628.44,262,628.38,43
2025-08-05 08:19:19,SPY,628.37,750,628.44,262,628.38,43
2025-08-05 08:19:21,SPY,628.37,750,628.44,262,628.38,43
2025-08-05 08:19:23,SPY,628.37,750,628.44,262,628.38,43
2025-08-05 08:19:25,SPY,628.37,750,628.44,262,628.38,43
2025-08-05 08:19:27,SPY,628.35,450,628.41,301,628.34,100
2025-08-05 08:19:29,SPY,628.35,450,628.41,301,628.34,100
2025-08-05 08:19:31,SPY,628.35,250,628.40,705,628.35,100
2025-08-05 08:19:33,SPY,628.35,250,628.40,705,628.35,100
2025-08-05 08:19:36,SPY,628.35,250,628.40,705,628.35,100
2025-08-05 08:19:38,SPY,628.32,750,628.38,368,628.33,100
2025-08-05 08:19:40,SPY,628.32,750,628.38,368,628.33,100
2025-08-05 08:19:42,SPY,628.38,250,628.43,250,628.37,19
2025-08-05 08:19:44,SPY,628.38,250,628.43,250,628.37,19
2025-08-05 08:19:46,SPY,628.38,250,628.43,250,628.37,19
2025-08-05 08:19:48,SPY,628.31,150,628.36,950,628.30,100
2025-08-05 08:19:50,SPY,628.31,150,628.36,950,628.30,100
2025-08-05 08:19:53,SPY,628.30,290,628.35,520,628.29,5
2025-08-05 08:19:55,SPY,628.30,290,628.35,520,628.29,5
2025-08-05 08:19:57,SPY,628.30,290,628.35,520,628.29,5
