timestamp,ticker,bid_price,bid_size,ask_price,ask_size,last_trade_price,last_trade_size
2025-08-04 11:39:19,SPY,630.22,607,630.27,"1,309",630.20,70
2025-08-04 11:39:21,SPY,630.28,350,630.33,269,630.26,84
2025-08-04 11:39:24,SPY,630.28,350,630.33,269,630.26,84
2025-08-04 11:39:26,SPY,630.28,350,630.33,269,630.26,84
2025-08-04 11:39:28,SPY,630.31,360,630.36,200,630.28,50
2025-08-04 11:39:30,SPY,630.31,360,630.36,200,630.28,50
2025-08-04 11:39:32,SPY,630.31,360,630.35,150,630.29,100
2025-08-04 11:39:34,SPY,630.30,460,630.35,150,630.29,100
2025-08-04 11:39:37,SPY,630.30,460,630.35,150,630.29,100
2025-08-04 11:39:39,SPY,630.31,460,630.36,501,630.32,55
2025-08-04 11:39:41,SPY,630.31,460,630.36,501,630.32,55
2025-08-04 11:39:43,SPY,630.31,460,630.36,501,630.32,55
2025-08-04 11:39:45,SPY,630.30,270,630.35,"1,100",630.31,7
2025-08-04 11:39:47,SPY,630.30,270,630.35,"1,100",630.31,7
2025-08-04 11:39:50,SPY,630.30,270,630.35,"1,100",630.31,7
2025-08-04 11:39:52,SPY,630.27,577,630.32,"1,550",630.30,10
2025-08-04 11:39:54,SPY,630.27,577,630.32,"1,550",630.30,10
2025-08-04 11:39:56,SPY,630.28,450,630.33,660,630.27,3
2025-08-04 11:39:58,SPY,630.28,450,630.33,660,630.27,3
2025-08-04 11:40:01,SPY,630.28,450,630.33,660,630.27,3
2025-08-04 11:40:03,SPY,630.28,250,630.33,660,630.28,38
2025-08-04 11:40:05,SPY,630.28,250,630.33,660,630.28,38
2025-08-04 11:40:07,SPY,630.28,250,630.33,660,630.28,38
2025-08-04 11:40:09,SPY,630.30,460,630.35,220,630.28,100
2025-08-04 11:40:11,SPY,630.30,460,630.35,220,630.28,100
2025-08-04 11:40:13,SPY,630.30,460,630.35,220,630.28,100
2025-08-04 11:40:15,SPY,630.28,460,630.33,380,630.28,91
2025-08-04 11:40:18,SPY,630.28,460,630.33,380,630.28,91
2025-08-04 11:40:20,SPY,630.28,460,630.33,380,630.28,91
2025-08-04 11:40:22,SPY,630.16,360,630.21,660,630.19,69
2025-08-04 11:40:24,SPY,630.16,360,630.21,660,630.19,69
2025-08-04 11:40:26,SPY,630.16,360,630.21,660,630.19,69
2025-08-04 11:40:28,SPY,630.17,460,630.22,"1,560",630.17,366
2025-08-04 11:40:30,SPY,630.17,460,630.22,"1,560",630.17,366
2025-08-04 11:40:32,SPY,630.17,460,630.22,"1,560",630.17,366
2025-08-04 11:40:34,SPY,630.12,280,630.17,460,630.16,70
2025-08-04 11:40:37,SPY,630.12,280,630.17,460,630.16,70
2025-08-04 11:40:39,SPY,630.08,150,630.13,760,630.10,100
2025-08-04 11:40:41,SPY,630.08,150,630.13,760,630.10,100
2025-08-04 11:40:43,SPY,630.08,150,630.13,760,630.10,100
2025-08-04 11:40:45,SPY,630.12,270,630.17,360,630.13,1
2025-08-04 11:40:47,SPY,630.12,270,630.17,360,630.13,1
2025-08-04 11:40:49,SPY,630.12,270,630.17,360,630.13,1
2025-08-04 11:40:51,SPY,630.13,350,630.19,200,630.12,1
2025-08-04 11:40:54,SPY,630.13,350,630.19,200,630.12,1
2025-08-04 11:40:56,SPY,630.13,350,630.19,200,630.12,1
2025-08-04 11:40:58,SPY,630.13,250,630.18,750,630.16,72
2025-08-04 11:41:00,SPY,630.13,250,630.18,750,630.16,72
2025-08-04 11:41:02,SPY,630.13,250,630.18,750,630.16,72
2025-08-04 11:41:04,SPY,630.11,360,630.16,560,630.14,60
2025-08-04 11:41:06,SPY,630.11,360,630.16,560,630.14,60
2025-08-04 11:41:08,SPY,630.07,365,630.12,"1,460",630.08,100
2025-08-04 11:41:11,SPY,630.07,365,630.12,"1,460",630.08,100
2025-08-04 11:41:13,SPY,630.07,365,630.12,"1,460",630.08,100
2025-08-04 11:41:15,SPY,630.06,300,630.11,570,630.06,1
2025-08-04 11:41:17,SPY,630.06,300,630.11,570,630.06,1
2025-08-04 11:41:19,SPY,630.06,300,630.11,570,630.06,1
2025-08-04 11:41:21,SPY,630.05,513,630.10,460,630.06,60
2025-08-04 11:41:23,SPY,630.05,513,630.10,460,630.06,60
